time,text,language,scam_type,lure_principles,named_entity,url_shortener,exact_key,scam_score,predicted_scam
2023-03-23,"I'm sorry to bother you, I read your profile on linkedin and I'd love to learn from industry stalwarts like you from each other",English,wrong number,,,,60527706986f9346,0.2721376802911438,0
2023-03-04,FRM:<US_DRIVER_LICENSE> SUBJ:-<US_DRIVER_LICENSE> MSG: -<US_DRIVER_LICENSE>.WellsFARGO. <URL>,English,banking,authority,wells fargo,,1528aebd77c13190,0.19613423437612248,0
2023-03-04,Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: <URL>,English,others,"authority,time/urgency",Amazon,,bbab9231383e9060,0.8565165936893904,1
2023-01-18,You have a parcel pending for delivery.,English,delivery,,,,215c7596761589fc,0.5198746746691805,1
2022-11-12,"Hi Mum | smashed my phone and I'm using a friends phone to message you and phone is about to die Could you message me on WhatsApp, my new number is <PHONE_NUMBER>",English,hey mum/dad,"kindness,time/urgency",,,bf9e4d43e940113e,0.14999128266168282,0
2022-11-12,Apple: Your Apple Pay has been suspended due to unusual activity. Please visit: <URL> to reactivate your wallet.,English,banking,"authority,time/urgency",apple,,24a920cacd42fee0,0.8940617037766476,1
2022-09-13,"Apple: We have detected unusual activity on your account and suspended it due to security reasons, visit https://apple-",English,others,"authority,time/urgency",apple,,b28b7448a127a486,0.7571247316570474,1
2022-08-10,"Alert!! Your Cloudflare schedule has been updated, Please tap <URL> to view your changes.",English,others,"authority,time/urgency",cloudflare,,f03f132d78d5bbcd,0.8981611617593398,1
2022-08-05,Our services were severely disrupted <DATE_TIME>. We're compensating everyone affected with a $50.00 CAD indemnity. Sorry for the inconvenience we may have caused you.,English,others,need and greed,,,fda953da34123ce6,0.35109057066892674,0
2022-08-05,"US Post) - Your courier is stuck at the transit center, fill in the delivery address and re-deliver: <URL>",English,delivery,"authority,time/urgency",us post,,7ec3d0e3d8541b25,0.27531152431600575,0
2022-08-05,"Please confirm your shipment details, otherwise your item will be sent back to the sender: <URL>",English,delivery,"distraction,time/urgency",,,91423abb9dc04d6e,0.4363487703741664,0
2022-07-22,AN POST: Your package has a €1.90 unpaid fee. To pay this visit <URL> . If this is not paid the package will be returned.,English,delivery,"authority,time/urgency",an post,,0e46663758af4af6,0.3492307164766915,0
2022-07-20,AN POST: Your package has a €1.90 unpaid fee. To pay this visit <URL> If this is not paid the package will be returned to sender.,English,delivery,"authority,time/urgency",an post,,90a1c6e149bb6f84,0.3780188554152292,0
2022-07-06,"<UBERsMESSAGE> Did you recently sign in from anew device near <LOCATION>,<LOCATION>? **If this wasn't you, see hitps://",English,others,"authority,time/urgency",uber,,e7286ee48f30afda,0.14936222918035139,0
2022-07-01,We've issued you a $258.44 tax refund for overpayments made in <DATE_TIME>. Check the details. <URL>,English,government,"authority,need and greed,time/urgency",IRS,,0971cc7e6960e5a8,0.2671412796778253,0
2022-06-30,"You've been exposed to someone with <NAMED_ENTITY> (Omicron). You are required to take immediate action, to order a PCR test, visit: health-care- <URL>",English,others,"authority,time/urgency",,,dec0d76e9cf07145,0.4745267690148167,0
2022-06-20,We identified you as a contact of someone who recently tested positive for Omicron. You must order a home test kit. Please visit:,English,others,"authority,time/urgency",,,3956f12e51a41069,0.4780727399980163,0
2022-06-15,"RoyalMail: Sorry you have not accepted the 2.99 (GBP), Choose another delivery date: https:// $code lanfeT bata AC 1eh se AeA)",English,delivery,"authority,need and greed,time/urgency",royalmail,,c04887a0eb1ab02c,0.4347792931758375,0
2022-06-14,Your <NAMED_ENTITY> account is temporarily locked. Verify yourself to get unrestricted. <LOCATION>,English,banking,"authority,time/urgency",zippay,bit.ly,5ab9d78f324520b2,0.4921704087670355,0
2022-06-03,"<NAMED_ENTITY>, | need to know if you are available in a split second. | am at a meeting and limited to calls, but |am good to go with texts if that works. Need you to handle a task. Thanks",English,wrong number,"distraction,time/urgency",,,d8b87e8b4302493f,0.07231930133519922,0
2022-05-23,Citizens: We are contacting you about an Exxon-Mobil charge made with you card. Visit https://,English,banking,"authority,time/urgency",exxon-mobil,,1c927e7c443e4949,0.2609686118673703,0
2022-05-19,"APPLE: Apple Pay was deactivated on your device. To reactivate, visit the link immediately: https://resubmit- <URL>",English,banking,"authority,time/urgency",apple,,a1f1827392a701a8,0.6665709277013218,1
2022-05-17,<DATE_TIME> your parcel but no one answered. Reschedule & track parcel at: https://postoffice <URL>,English,delivery,time/urgency,,,f3b7aa4074861937,0.19672875541195395,0
2022-05-17,"<URL> ZofHB08b2QA83Y9tzOm Amazon: Sign-in from I, GR. Tap link to respond.",English,others,authority,Amazon,,77f1f03c5b5bef74,0.3804876719879412,0
2022-05-09,You've got a new voice message from your insurance company http://,English,others,authority,insurance company,,12e3cfe54962d1a8,0.6139936577854216,1
2022-05-02,NHS-ALERT: We identified you as a contact of someone who recently tested positive for Omicron. You must book a home test kit: per-,English,government,"authority,time/urgency",nhs,,d31609f51e49ba97,0.4779707752610869,0
2022-04-14,USPS: the scheduled delivery for the package 4x381ba has been changed. Please confirm here: <URL>,English,delivery,"authority,time/urgency",USPS,,770c904f397e79cc,0.5184813046325847,1
2022-04-13,"SingaPost : Your Reffrence Number <US_BANK_NUMBER> Is ready for collection, Or you can add an address if you want to receive your item by post <URL> 8Kefks40G9",English,delivery,authority,singapost,t.co,b0f75087f97dbc8f,0.6043215664632953,1
2022-03-30,BOI: We have temporarily restricted access to your account due to suspicious activity. Please visit <URL>,English,banking,"authority,time/urgency",Bank of India,,fc17aa10add047da,0.8187544037227124,1
2022-03-10,"You have sent a payment of $199.99 to <NAMED_ENTITY>. If you did not authenticate this transaction, check here",English,banking,"authority,time/urgency",,,373dac5cccd558c6,0.35087834076112384,0
2022-03-08,From ASB: A new Nokia <US_DRIVER_LICENSE> has been registered on your ASB app. Not you? Please visit,English,banking,"authority,time/urgency",asb,,9247d2f86dc92d2e,0.837798892752015,1
2022-03-07,"USP! When the package arrives, the courier cannot find you. Would you like to schedule a redelivery?",English,delivery,"need and greed,time/urgency",usp,,7fa726f34b0d58ab,0.12084173520588296,0
2022-02-22,€ PARCEL-<US_DRIVER_LICENSE> IS PENDING - Please confirm item! Track: <URL> Pee,English,delivery,time/urgency,,bit.ly,95c82b72dce4a0cb,0.2354418255044536,0
2022-02-17,We have detected unusual login attempts on your account. You can avoid restrictions by visiting https:// <URL>,English,banking,"authority,time/urgency",unknown,,3779b7e4f0b4db21,0.5921572116705115,1
2022-02-14,NHS: You've have been in close contact with a person who has Omicron. Please order a Test Kit: https://nhs-omicron- <URL>,English,government,"authority,time/urgency",nhs,,4650211fea332109,0.6115075823280449,1
2022-02-14,You have been in close contact with someone who has the Omicron Variant. You must order a free PCR testing kit here: <URL>quest- <URL>,English,government,"authority,time/urgency",nhs,,c3233525db2e69dc,0.6332925215029082,1
2022-02-14,NHS: You've been near someone with the Omicron Variant. Apply for a Test Kit <DATE_TIME>: https://urgent-test- <URL>,English,government,"authority,time/urgency",nhs,,f39a7e0d0e15e6d2,0.43761570807135336,0
2022-02-07,"| Mrs.<NAMED_ENTITY> from <LOCATION> contact me on this email: <NAMED_ENTITY> .com immediately It's an interesting discussion i have for you,IT IS URGENT REPLY ME NOW",English,others,"distraction,time/urgency",,,8d2e8df23a18b50a,0.6550834224392265,1
2022-01-23,You just sent a payment of $12.60 USD to <NAMED_ENTITY>. If you don't recognize this,English,banking,"authority,time/urgency",,,0915b8a3ba87d6fd,0.26289584587736226,0
2022-01-02,"ATT Free Msg: <DATE_TIME> bill is paid. Thanks, Here's a little",English,others,,att,,794c8409056dfba4,0.2758472305276287,0
2021-12-09,"Due to a violation of our terms and conditions, your online has been limited. To reactivate please visit: https:// <URL>",English,banking,"authority,time/urgency",,,69cf075001f5d396,0.8834653854590937,1
2021-12-02,C.R.A. - Your tax return is Now available. Proceed here :,English,government,authority,cra,,5a00da6b4077acaa,0.4480684255616683,0
2021-12-02,"Your One Time Passcode is <DATE_TIME> for a payment of 415.89 to CURRYS. Ref RB9U If this was NOT you, Please call our dedicated fraud team on <DATE_TIME>",English,banking,"authority,time/urgency",currys,,f95a5977d5490809,0.7648154593084721,1
2021-11-21,DID YOU ATTEMPT A PURCHASE FOR THE AMOUNT OF $298.88 AT WALMART #<US_DRIVER_LICENSE> IN COLOMBUS OH JUST NOW ? RELPY (Y) FOR YES OR (N) FOR NO.,English,banking,"authority,time/urgency",walmart,,8f412d6724c5f8cb,0.17004086679647915,0
2021-11-21,"You received an e-Transfer. Reply ""info"" for more details.",English,banking,"need and greed,time/urgency",,,5e8970770e1656c2,0.443780133872593,0
2021-11-21,"Dear customer, Your Apple ID is due to expire <DATE_TIME>.",English,others,"authority,time/urgency",apple,,ac0c162a33d4e899,0.8708117253379031,1
2021-11-21,'-) ADVISORY: Your Online Digital Access is under verification please proceed here if your registered mobile number is still active http://bdo-digitalonline <URL>,English,banking,"authority,time/urgency",bdo,,c1895bf6a495a888,0.7895741537971912,1
2021-11-21,NHS: We noticed you haven't applied for your Covid Pass. Follow the link to complete registration and avoid penalties:,English,government,"authority,time/urgency",nhs,,da41fa07bc2e0145,0.5966533562299143,1
2021-11-21,DVLA: We recalculated £48.84 is due <URL> to claim,English,government,"authority,need and greed",dvla,,d3ab68028743f00f,0.7658059115602611,1
2021-11-21,to continue streaming http://<IP_ADDRESS> ee,English,telecom,,,,9ebb8917acef9c63,0.7791278284651231,1
